Team Name,Logo URL,Profile Link,Stats Link,Schedule Link,Tickets Link
Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,https://www.nba.com/team/1610612738/celtics,https://www.nba.com/stats/team/1610612738,https://www.nba.com/celtics/schedule,https://www.nba.com/celtics/tickets
Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,https://www.nba.com/team/1610612751/nets,https://www.nba.com/stats/team/1610612751,https://www.nba.com/nets/schedule,https://www.nba.com/nets/tickets
New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,https://www.nba.com/team/1610612752/knicks,https://www.nba.com/stats/team/1610612752,https://www.nba.com/knicks/schedule,https://www.nba.com/knicks/tickets
Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,https://www.nba.com/team/1610612755/sixers,https://www.nba.com/stats/team/1610612755,https://www.nba.com/sixers/schedule,https://www.nba.com/sixers/tickets
Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,https://www.nba.com/team/1610612761/raptors,https://www.nba.com/stats/team/1610612761,https://www.nba.com/raptors/schedule,https://www.nba.com/raptors/tickets
Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,https://www.nba.com/team/1610612741/bulls,https://www.nba.com/stats/team/1610612741,https://www.nba.com/bulls/schedule,https://www.nba.com/bulls/tickets
Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,https://www.nba.com/team/1610612739/cavaliers,https://www.nba.com/stats/team/1610612739,https://www.nba.com/cavaliers/schedule,https://www.nba.com/cavaliers/tickets
Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,https://www.nba.com/team/1610612765/pistons,https://www.nba.com/stats/team/1610612765,https://www.nba.com/pistons/schedule,https://www.nba.com/pistons/tickets
Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,https://www.nba.com/team/1610612754/pacers,https://www.nba.com/stats/team/1610612754,https://www.nba.com/pacers/schedule,https://www.nba.com/pacers/tickets
Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,https://www.nba.com/team/1610612749/bucks,https://www.nba.com/stats/team/1610612749,https://www.nba.com/bucks/schedule,https://www.nba.com/bucks/tickets
Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,https://www.nba.com/team/1610612737/hawks,https://www.nba.com/stats/team/1610612737,https://www.nba.com/hawks/schedule,https://www.nba.com/hawks/tickets
Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,https://www.nba.com/team/1610612766/hornets,https://www.nba.com/stats/team/1610612766,https://www.nba.com/hornets/schedule,https://www.nba.com/hornets/tickets
Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,https://www.nba.com/team/1610612748/heat,https://www.nba.com/stats/team/1610612748,https://www.nba.com/heat/schedule,https://www.nba.com/heat/tickets
Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,https://www.nba.com/team/1610612753/magic,https://www.nba.com/stats/team/1610612753,https://www.nba.com/magic/schedule,https://www.nba.com/magic/tickets
Washington Wizards,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,https://www.nba.com/team/1610612764/wizards,https://www.nba.com/stats/team/1610612764,https://www.nba.com/wizards/schedule,https://www.nba.com/wizards/tickets
Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,https://www.nba.com/team/1610612743/nuggets,https://www.nba.com/stats/team/1610612743,https://www.nba.com/nuggets/schedule,https://www.nba.com/nuggets/tickets
Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,https://www.nba.com/team/1610612750/timberwolves,https://www.nba.com/stats/team/1610612750,https://www.nba.com/timberwolves/schedule,https://www.nba.com/timberwolves/tickets
Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,https://www.nba.com/team/1610612760/thunder,https://www.nba.com/stats/team/1610612760,https://www.nba.com/thunder/schedule,https://www.nba.com/thunder/tickets
Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,https://www.nba.com/team/1610612757/blazers,https://www.nba.com/stats/team/1610612757,https://www.nba.com/blazers/schedule,https://www.nba.com/blazers/tickets
Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,https://www.nba.com/team/1610612762/jazz,https://www.nba.com/stats/team/1610612762,https://www.nba.com/jazz/schedule,https://www.nba.com/jazz/tickets
Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,https://www.nba.com/team/1610612744/warriors,https://www.nba.com/stats/team/1610612744,https://www.nba.com/warriors/schedule,https://www.nba.com/warriors/tickets
LA Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,https://www.nba.com/team/1610612746/clippers,https://www.nba.com/stats/team/1610612746,https://www.nba.com/clippers/schedule,https://www.nba.com/clippers/tickets
Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,https://www.nba.com/team/1610612747/lakers,https://www.nba.com/stats/team/1610612747,https://www.nba.com/lakers/schedule,https://www.nba.com/lakers/tickets
Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,https://www.nba.com/team/1610612756/suns,https://www.nba.com/stats/team/1610612756,https://www.nba.com/suns/schedule,https://www.nba.com/suns/tickets
Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,https://www.nba.com/team/1610612758/kings,https://www.nba.com/stats/team/1610612758,https://www.nba.com/kings/schedule,https://www.nba.com/kings/tickets
Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,https://www.nba.com/team/1610612742/mavericks,https://www.nba.com/stats/team/1610612742,https://www.nba.com/mavericks/schedule,https://www.nba.com/mavericks/tickets
Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,https://www.nba.com/team/1610612745/rockets,https://www.nba.com/stats/team/1610612745,https://www.nba.com/rockets/schedule,https://www.nba.com/rockets/tickets
Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,https://www.nba.com/team/1610612763/grizzlies,https://www.nba.com/stats/team/1610612763,https://www.nba.com/grizzlies/schedule,https://www.nba.com/grizzlies/tickets
New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,https://www.nba.com/team/1610612740/pelicans,https://www.nba.com/stats/team/1610612740,https://www.nba.com/pelicans/schedule,https://www.nba.com/pelicans/tickets
San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,https://www.nba.com/team/1610612759/spurs,https://www.nba.com/stats/team/1610612759,https://www.nba.com/spurs/schedule,https://www.nba.com/spurs/tickets
